Gm#,Date,Team,Location,Opponent,W/L,W/L_Differential,R,RA,Streak
31,"Tuesday, May 4",SDP,,Pirates,L,-1,1,2,-
32,"Wednesday, May 5",SDP,,Pirates,W,2,4,2,+
33,"Friday, May 7",SDP,@,Giants,L,-1,4,5,-
34,"Saturday, May 8",SDP,@,Giants,L,-6,1,7,--
35,"Sunday, May 9",SDP,@,Giants,W,10,11,1,+
36,"Tuesday, May 11",SDP,@,Rockies,W,7,8,1,++
37,"Wednesday, May 12 (1)",SDP,@,Rockies,W,2,5,3,+++
38,"Wednesday, May 12 (2)",SDP,@,Rockies,L,-1,2,3,-
39,"Friday, May 14",SDP,,Cardinals,W,1,5,4,+
40,"Saturday, May 15",SDP,,Cardinals,W,10,13,3,++
41,"Sunday, May 16",SDP,,Cardinals,W,2,5,3,+++
42,"Monday, May 17",SDP,,Rockies,W,7,7,0,++++
43,"Tuesday, May 18",SDP,,Rockies,W,1,2,1,+++++
44,"Wednesday, May 19",SDP,,Rockies,W,3,3,0,++++++
45,"Friday, May 21",SDP,,Mariners,W,15,16,1,+++++++
46,"Saturday, May 22",SDP,,Mariners,W,2,6,4,++++++++
47,"Sunday, May 23",SDP,,Mariners,W,7,9,2,+++++++++
48,"Monday, May 24",SDP,@,Brewers,L,-2,3,5,-
49,"Tuesday, May 25",SDP,@,Brewers,W,6,7,1,+
50,"Wednesday, May 26",SDP,@,Brewers,W,1,2,1,++
51,"Thursday, May 27",SDP,@,Brewers,L,-1,5,6,-
52,"Friday, May 28",SDP,@,Astros,W,7,10,3,+
53,"Saturday, May 29",SDP,@,Astros,W,3,11,8,++
54,"Sunday, May 30",SDP,@,Astros,L,-3,4,7,-
